County_Forest_NH,Cost_Forest_NH,Qty_Forest_NH,County_Forest_H,Cost_Forest_H,Qty_Forest_H,County_Soil,Cost_Soil,Qty_Soil,County_MinCost,Cost_MinCost,Qty_MinCost,County_MaxQty,Cost_MaxQty,Qty_MaxQty,County_CE,Cost_CE,Qty_CE,Revenues_CE
"SAN FRANCISCO COUNTY, CA",0,1271.58636,"SAN FRANCISCO COUNTY, CA",0,1025.60865,"MARIN COUNTY, CA",0,0,"SAN FRANCISCO COUNTY, CA",0,1271.58636,"SAN FRANCISCO COUNTY, CA",0,1271.58636,"SAN FRANCISCO COUNTY, CA",0,1271.58636,0
"HARLAN COUNTY, KY",0.493014808,35484.08254,"MONTEREY COUNTY, CA",0.010259513,1687923.367,"SAN FRANCISCO COUNTY, CA",0,0,"TELLER COUNTY, CO",0,1296.22636,"LETCHER COUNTY, KY",0.113469659,69347.38582,"TELLER COUNTY, CO",0,1296.22636,0
"WALDO COUNTY, ME",0.547853919,165929.3996,"MARIN COUNTY, CA",0.03876675,2297406.104,"CLEAR CREEK COUNTY, CO",0,0,"GALVESTON COUNTY, TX",0,24802.78636,"HARLAN COUNTY, KY",0.259636672,119675.4349,"HALL COUNTY, GA",0,1317.17036,0
"MONTEREY COUNTY, CA",1.305418282,2241087.695,"LETCHER COUNTY, KY",0.113469659,2365481.903,"GILPIN COUNTY, CO",0,0,"VIRGINIA BEACH CITY, VA",0,71025.27036,"UNION COUNTY, AR",0.43208489,152668.8491,"GALVESTON COUNTY, TX",0,24823.73036,0
"PENDLETON COUNTY, WV",1.476317278,2481460.248,"GLENN COUNTY, CA",0.252650759,4472186.4,"GUNNISON COUNTY, CO",0,0,"MONTEREY COUNTY, CA",0.010259513,1757923.029,"WALDO COUNTY, ME",0.547853919,283114.1661,"VIRGINIA BEACH CITY, VA",0,71046.21436,0
"BARBOUR COUNTY, WV",1.48499655,2647383.349,"HARLAN COUNTY, KY",0.259636672,4522514.449,"LAKE COUNTY, CO",0,0,"MARIN COUNTY, CA",0.03876675,2367405.765,"CHATTAHOOCHEE COUNTY, GA",0.865456151,305952.1869,"MONTEREY COUNTY, CA",0.010259513,1757943.973,18035.64977
"HAMPSHIRE COUNTY, WV",1.552484736,2920465.466,"UNION COUNTY, AR",0.43208489,4555507.863,"SAN JUAN COUNTY, CO",0,0,"LETCHER COUNTY, KY",0.113469659,2435481.565,"HANCOCK COUNTY, GA",0.988658212,558128.6994,"MARIN COUNTY, CA",0.03876675,2367426.709,91777.43953
"ROANE COUNTY, WV",1.559369295,3053097.78,"WALDO COUNTY, ME",0.497001018,4674639.775,"TELLER COUNTY, CO",0,24.64,"HOOD COUNTY, TX",0.122040111,2446249.245,"GADSDEN COUNTY, FL",1.055679388,781631.1144,"LETCHER COUNTY, KY",0.113469659,2435502.509,276355.6382
"MARSHALL COUNTY, WV",1.591860602,3175108.29,"HANCOCK COUNTY, ME",0.749603257,4770839.97,"PINELLAS COUNTY, FL",0,24.64,"SHELBY COUNTY, TX",0.238010864,2447752.285,"JONES COUNTY, NC",1.127213918,1108093.965,"HOOD COUNTY, TX",0.122040111,2446270.189,298543.0851
"MINERAL COUNTY, WV",1.766269994,3309114.306,"TRIPP COUNTY, SD",0.809371895,6070023.07,"HALL COUNTY, GA",0,45.584,"NAVARRO COUNTY, TX",0.243267315,2610745.885,"CHESTERFIELD COUNTY, SC",1.20009925,1675664.908,"NAVARRO COUNTY, TX",0.243267315,2609263.789,634748.5952
"SUMMERS COUNTY, WV",1.799993137,3417045.608,"CHATTAHOOCHEE COUNTY, GA",0.865456151,6092861.091,"HARLAN COUNTY, KY",0,45.584,"GLENN COUNTY, CA",0.252650759,4717450.381,"FRANKLIN COUNTY, FL",1.211856834,1688800.332,"GLENN COUNTY, CA",0.252650759,4715968.285,1191492.967
"LOGAN COUNTY, WV",1.91384502,3534705.496,"WASHINGTON COUNTY, ME",0.95674924,6270823.495,"LETCHER COUNTY, KY",0,45.584,"HARLAN COUNTY, KY",0.259636672,4767778.431,"MITCHELL COUNTY, GA",1.212598918,2406965.294,"HARLAN COUNTY, KY",0.259636672,4766296.335,1237505.316
"GREENBRIER COUNTY, WV",1.916872235,3872918.627,"HANCOCK COUNTY, GA",0.988658212,6523000.008,"BRONX COUNTY, NY",0,45.584,"EASTLAND COUNTY, TX",0.260307803,4870182.271,"HASKELL COUNTY, TX",1.240650606,3550742.122,"EASTLAND COUNTY, TX",0.260307803,4868700.175,1267360.645
"HANCOCK COUNTY, ME",1.921398168,3977040.353,"GADSDEN COUNTY, FL",1.055679388,6746502.423,"NASSAU COUNTY, NY",0,45.584,"CAVALIER COUNTY, ND",0.277868817,5112152.923,"BAKER COUNTY, FL",1.248700063,3778379.764,"CAVALIER COUNTY, ND",0.277868817,5110670.827,1420096.059
"GRANT COUNTY, WV",2.003363464,4207920.647,"JONES COUNTY, NC",1.127213918,7072965.273,"GALVESTON COUNTY, TX",0,23552.144,"CHATTAHOOCHEE COUNTY, GA",0.327343505,5113577.115,"MACON COUNTY, GA",1.258685661,4122442.273,"BLAINE COUNTY, OK",0.372968502,5771564.907,2152611.917
"CALHOUN COUNTY, WV",2.083948122,4251812.906,"CHESTERFIELD COUNTY, SC",1.20009925,7640536.216,"TYLER COUNTY, TX",0,23552.144,"BLAINE COUNTY, OK",0.372968502,5774471.195,"MONTGOMERY COUNTY, AR",1.27871722,4282545.878,"HILL COUNTY, TX",0.388992604,6196112.107,2410241.781
"MONROE COUNTY, WV",2.14982942,4537736.593,"FRANKLIN COUNTY, FL",1.211856834,7653671.64,"VIRGINIA BEACH CITY, VA",0,69774.628,"HILL COUNTY, TX",0.388992604,6199018.395,"SIMPSON COUNTY, MS",1.284543813,4482966.274,"MUSCOGEE COUNTY, GA",0.410082558,6199023.323,2542111.338
"WASHINGTON COUNTY, ME",2.178136787,4730600.455,"MITCHELL COUNTY, GA",1.212598918,8371836.602,"JEFFERSON COUNTY, WA",0,69774.628,"MUSCOGEE COUNTY, GA",0.410082558,6201929.611,"TREUTLEN COUNTY, GA",1.298343172,4624521.048,"MERCER COUNTY, PA",0.415593505,6395960.987,2658119.844
"HARDY COUNTY, WV",2.195860066,4955789.397,"HASKELL COUNTY, TX",1.240650606,9515613.431,"MONTEREY COUNTY, CA",0.085249922,92123.108,"MERCER COUNTY, PA",0.415593505,6398867.275,"MONTEREY COUNTY, CA",1.305418282,6699679.343,"UNION COUNTY, AR",0.43208489,6428954.401,2777854.052
"MINGO COUNTY, WV",2.441453757,5075394.723,"BAKER COUNTY, FL",1.248700063,9743251.072,"HOOD COUNTY, TX",0.122040111,102890.788,"UNION COUNTY, AR",0.43208489,6431860.689,"NESHOBA COUNTY, MS",1.359239955,6922586.627,"JOHNSON COUNTY, TX",0.45909969,6519383.201,2993046.808
"WIRT COUNTY, WV",2.696593761,5144731.182,"MACON COUNTY, GA",1.258685661,10087313.58,"SHELBY COUNTY, TX",0.238010864,104393.828,"JOHNSON COUNTY, TX",0.45909969,6522289.489,"GULF COUNTY, FL",1.361615212,6968969.139,"WALDO COUNTY, ME",0.497001018,6638515.113,3299348.771
"RALEIGH COUNTY, WV",2.776317541,5401409.914,"MONTGOMERY COUNTY, AR",1.27871722,10247417.19,"NAVARRO COUNTY, TX",0.243267315,267387.428,"WALDO COUNTY, ME",0.497001018,6641421.401,"WAYNE COUNTY, MS",1.375805166,7130530.87,"TAYLOR COUNTY, TX",0.647311663,6791332.393,4396108.668
"RITCHIE COUNTY, WV",2.806708658,5507048.69,"SIMPSON COUNTY, MS",1.284543813,10447837.58,"EASTLAND COUNTY, TX",0.260307803,369791.268,"CLAYTON COUNTY, GA",0.598662932,6641463.289,"ATKINSON COUNTY, GA",1.408373661,7397749.428,"SOMERSET COUNTY, ME",0.692549401,6855958.493,4748089.95
"PLUMAS COUNTY, CA",3.196765787,6510362.058,"TREUTLEN COUNTY, GA",1.298343172,10589392.36,"CAVALIER COUNTY, ND",0.277868817,611761.92,"ROCKDALE COUNTY, GA",0.620886712,6641505.177,"JONES COUNTY, MS",1.426367816,7661104.794,"SMITH COUNTY, TX",0.728260485,6882692.893,5012393.265
"INYO COUNTY, CA",3.259113915,6523925.646,"NESHOBA COUNTY, MS",1.359239955,10812299.64,"CHATTAHOOCHEE COUNTY, GA",0.327343505,613186.112,"TAYLOR COUNTY, TX",0.647311663,6794322.457,"KNOX COUNTY, TX",1.428091377,8251889.897,"HANCOCK COUNTY, ME",0.749603257,6978893.087,5231400.99
"MARION COUNTY, WV",3.510510134,6618059.341,"GULF COUNTY, FL",1.361615212,10858682.15,"BLAINE COUNTY, OK",0.372968502,1274080.192,"SOMERSET COUNTY, ME",0.692549401,6858948.557,"JENKINS COUNTY, GA",1.456722016,8582525.126,"TRIPP COUNTY, SD",0.809371895,8278076.188,6700042.208
"KINGS COUNTY, CA",3.572779234,6621874.1,"WAYNE COUNTY, MS",1.375805166,11020243.88,"HILL COUNTY, TX",0.388992604,1698627.392,"DOUGLAS COUNTY, GA",0.712043175,6858990.445,"SUMTER COUNTY, GA",1.466261209,9101842.416,"CHATTAHOOCHEE COUNTY, GA",0.865456151,8300914.209,7184077.258
"HAMILTON COUNTY, NY",3.811056038,6628527.748,"ATKINSON COUNTY, GA",1.408373661,11287462.44,"MUSCOGEE COUNTY, GA",0.410082558,1701538.608,"MARION COUNTY, TX",0.715174921,6859557.165,"PENDLETON COUNTY, WV",1.476317278,9342214.968,"WASHINGTON COUNTY, ME",0.95674924,8478876.613,8112158.753
"HARRISON COUNTY, WV",3.842714278,6824835.038,"JONES COUNTY, MS",1.426367816,11550817.81,"MERCER COUNTY, PA",0.415593505,1898476.272,"SMITH COUNTY, TX",0.728260485,6886291.565,"BARBOUR COUNTY, WV",1.48499655,9508138.069,"PENOBSCOT COUNTY, ME",0.984684165,8570088.349,8438830.289
"WETZEL COUNTY, WV",3.924225104,6864818.478,"KNOX COUNTY, TX",1.428091377,12141602.91,"JOHNSON COUNTY, TX",0.45909969,1988905.072,"HANCOCK COUNTY, ME",0.749603257,6982491.759,"NEWTON COUNTY, MS",1.492572634,9705896.405,"HANCOCK COUNTY, GA",0.988658212,8822264.862,8722204.606
"KNOX COUNTY, ME",3.962222666,6940724.622,"JENKINS COUNTY, GA",1.456722016,12472238.14,"CLAYTON COUNTY, GA",0.598662932,1988946.96,"TRIPP COUNTY, SD",0.809371895,8281674.86,"SMITH COUNTY, MS",1.51029213,9884469.907,"WALSH COUNTY, ND",1.041731617,8854651.678,9224170.61
"LETCHER COUNTY, KY",4.003397065,6988650.833,"MINERAL COUNTY, WV",1.462498899,12596480.55,"ROCKDALE COUNTY, GA",0.620886712,1988988.848,"ROCKINGHAM COUNTY, NC",0.841843197,8288165.036,"HAMPSHIRE COUNTY, WV",1.552484736,10157552.02,"GADSDEN COUNTY, FL",1.055679388,9078154.093,9583620.152
"MADERA COUNTY, CA",4.007036524,7708242.379,"RALEIGH COUNTY, WV",1.466151562,12834444.7,"TAYLOR COUNTY, TX",0.647311663,2141806.128,"WASHINGTON COUNTY, ME",0.95674924,8466127.44,"LAWRENCE COUNTY, MS",1.554052028,10285204.42,"JONES COUNTY, NC",1.127213918,9404616.943,10601015.11
"MCDOWELL COUNTY, WV",4.016045353,7783081.987,"SUMTER COUNTY, GA",1.466261209,13353761.99,"SOMERSET COUNTY, ME",0.692549401,2206432.228,"PENOBSCOT COUNTY, ME",0.984684165,8557339.176,"ROANE COUNTY, WV",1.559369295,10417836.73,"CHESTERFIELD COUNTY, SC",1.20009925,9972187.886,11967615.21
"CLAY COUNTY, WV",4.051894904,7813021.237,"PENDLETON COUNTY, WV",1.466499776,13576550.7,"DOUGLAS COUNTY, GA",0.712043175,2206474.116,"HANCOCK COUNTY, GA",0.988658212,8809515.689,"WHEELER COUNTY, GA",1.581954854,10588648.53,"FRANKLIN COUNTY, FL",1.211856834,9985323.31,12100782.29
"JACKSON COUNTY, WV",4.080620684,8037765.17,"NEWTON COUNTY, MS",1.492572634,13774309.03,"MARION COUNTY, TX",0.715174921,2207040.836,"WALSH COUNTY, ND",1.041731617,8841902.505,"GREER COUNTY, OK",1.586851111,10996832.48,"MITCHELL COUNTY, GA",1.212598918,10703488.27,12979038.3
"WOOD COUNTY, WV",4.126990391,8209303.056,"SUMMERS COUNTY, WV",1.505866331,13874623.33,"SMITH COUNTY, TX",0.728260485,2233775.236,"GADSDEN COUNTY, FL",1.055679388,9065404.92,"MARSHALL COUNTY, WV",1.591860602,11118842.99,"HASKELL COUNTY, TX",1.240650606,11847265.1,14698316.63
"TYLER COUNTY, WV",4.150014463,8285433.171,"SMITH COUNTY, MS",1.51029213,14053196.83,"ROCKINGHAM COUNTY, NC",0.841843197,2240265.412,"FULTON COUNTY, GA",1.09299039,9065446.808,"SCOTT COUNTY, MS",1.631292023,11373171.22,"CADDO PARISH, LA",1.243191298,11947708.83,14853287.64
"ALLEGANY COUNTY, MD",4.203693732,8410130.007,"ROANE COUNTY, WV",1.534534889,14173918.99,"PENOBSCOT COUNTY, ME",0.984684165,2331477.148,"DE KALB COUNTY, GA",1.113915843,9065488.696,"LEAKE COUNTY, MS",1.647491154,11595895.72,"BAKER COUNTY, FL",1.248700063,12175346.47,15203355.9
"TAYLOR COUNTY, WV",4.268452685,8490321.565,"GREENBRIER COUNTY, WV",1.549383873,14488518.15,"WALSH COUNTY, ND",1.041731617,2363863.964,"JONES COUNTY, NC",1.127213918,9391951.546,"HUMPHREYS COUNTY, MS",1.716181822,12128341.13,"MACON COUNTY, GA",1.258685661,12519408.98,15758000.56
"PIKE COUNTY, AR",4.439134332,8617342.091,"LAWRENCE COUNTY, MS",1.554052028,14616170.54,"FULTON COUNTY, GA",1.09299039,2363905.852,"CHESTERFIELD COUNTY, SC",1.20009925,9959522.489,"MCINTOSH COUNTY, GA",1.729007047,12221139.88,"ELLIS COUNTY, TX",1.268031434,12843720.66,16286241.52
"FAYETTE COUNTY, WV",4.496195133,8724916.195,"WHEELER COUNTY, GA",1.581954854,14786982.34,"DE KALB COUNTY, GA",1.113915843,2363947.74,"FRANKLIN COUNTY, FL",1.211856834,9972657.913,"LIBERTY COUNTY, FL",1.73652169,12276642.8,"MONTGOMERY COUNTY, AR",1.27871722,13003824.26,16628214.01
"WYOMING COUNTY, WV",4.520152861,8817685.623,"GREER COUNTY, OK",1.586851111,15195166.29,"HANCOCK COUNTY, ME",1.168088318,2385054.98,"MITCHELL COUNTY, GA",1.212598918,10690822.88,"HARDEMAN COUNTY, TX",1.764882839,12626754.69,"SIMPSON COUNTY, MS",1.284543813,13204244.66,16961430.78
"STANISLAUS COUNTY, CA",4.647594973,8889388.965,"BARBOUR COUNTY, WV",1.591637931,15349357.57,"WASHINGTON COUNTY, ME",1.186259181,2455112.044,"HASKELL COUNTY, TX",1.240650606,11834599.7,"CLEBURNE COUNTY, AR",1.76505701,12874153.78,"TREUTLEN COUNTY, GA",1.298343172,13345799.43,17327427.57
"MORGAN COUNTY, WV",4.703110119,8963730.591,"HAMPSHIRE COUNTY, WV",1.628933789,15598503.63,"CADDO PARISH, LA",1.243191298,2555555.772,"CADDO PARISH, LA",1.243191298,11935043.43,"MINERAL COUNTY, WV",1.766269994,13008159.8,"NESHOBA COUNTY, MS",1.359239955,13568706.72,18443128.3
"SOMERSET COUNTY, ME",4.75547124,9294152.674,"SCOTT COUNTY, MS",1.631292023,15852831.86,"ELLIS COUNTY, TX",1.268031434,2879867.452,"BAKER COUNTY, FL",1.248700063,12162681.07,"JASPER COUNTY, MS",1.777399566,13153907.47,"GULF COUNTY, FL",1.361615212,13615089.23,18538512.61
"GILMER COUNTY, WV",4.78153705,9349961.883,"LEAKE COUNTY, MS",1.647491154,16075556.35,"GLENN COUNTY, CA",1.427936546,3038031.612,"MACON COUNTY, GA",1.258685661,12506743.58,"TILLMAN COUNTY, OK",1.795554555,14491511.28,"WAYNE COUNTY, MS",1.375805166,13776650.96,18953987.56
"BERKELEY COUNTY, WV",4.804899886,9691265.007,"MARSHALL COUNTY, WV",1.652310326,16187327.67,"MEADE COUNTY, SD",1.534499263,3038602.952,"ELLIS COUNTY, TX",1.268031434,12831055.26,"SUMMERS COUNTY, WV",1.799993137,14599442.59,"ATKINSON COUNTY, GA",1.408373661,14043869.52,19779015.92
"SAGADAHOC COUNTY, ME",4.856683417,9736579.396,"CALHOUN COUNTY, WV",1.696210546,16228073.66,"COBB COUNTY, GA",1.568755685,3038665.784,"MONTGOMERY COUNTY, AR",1.27871722,12991158.87,"TATTNALL COUNTY, GA",1.885082594,15077212.63,"JONES COUNTY, MS",1.426367816,14307224.88,20407365.12
"PERRY COUNTY, KY",4.92123768,9804680.753,"HUMPHREYS COUNTY, MS",1.716181822,16760519.07,"SAGADAHOC COUNTY, ME",1.600573216,3041487.988,"SIMPSON COUNTY, MS",1.284543813,13191579.26,"BLADEN COUNTY, NC",1.90317953,15783124.04,"KNOX COUNTY, TX",1.428091377,14898009.99,21275719.6
"KANAWHA COUNTY, WV",4.980220502,9894441.962,"MCINTOSH COUNTY, GA",1.729007047,16853317.82,"UNION COUNTY, AR",1.648088205,3042804.688,"TREUTLEN COUNTY, GA",1.298343172,13333134.04,"LOGAN COUNTY, WV",1.91384502,15900783.93,"JENKINS COUNTY, GA",1.456722016,15228645.22,22183902.75
"SANTA BARBARA COUNTY, CA",5.016385382,11358956.23,"LIBERTY COUNTY, FL",1.73652169,16908820.74,"STEPHENS COUNTY, TX",1.667107671,3075033.808,"NESHOBA COUNTY, MS",1.359239955,13556041.32,"BLEDSOE COUNTY, TN",1.913955419,16123242.59,"MINERAL COUNTY, WV",1.462498899,15352887.62,22453581.24
"BRAXTON COUNTY, WV",5.233799859,11450157.42,"RITCHIE COUNTY, WV",1.738367504,17004954.06,"GWINNETT COUNTY, GA",1.669272112,3075096.64,"GULF COUNTY, FL",1.361615212,13602423.83,"GREENBRIER COUNTY, WV",1.916872235,16461455.72,"RALEIGH COUNTY, WV",1.466151562,15590851.77,22858551.67
"WAYNE COUNTY, WV",5.278547174,11582557.76,"HARDEMAN COUNTY, TX",1.764882839,17355065.95,"PAULDING COUNTY, GA",1.758105946,3075138.528,"WAYNE COUNTY, MS",1.375805166,13763985.56,"POLK COUNTY, AR",1.920764814,16766510.14,"SUMTER COUNTY, GA",1.466261209,16110169.06,23621715.97
"UPSHUR COUNTY, WV",5.311803057,11711958.31,"CLEBURNE COUNTY, AR",1.76505701,17602465.04,"NATCHITOCHES PARISH, LA",1.768936569,3168115.104,"ATKINSON COUNTY, GA",1.408373661,14031204.12,"HANCOCK COUNTY, ME",1.921398168,16870631.86,"PENDLETON COUNTY, WV",1.476317278,16350541.62,24138587.09
"BOONE COUNTY, WV",5.413449331,11852497.93,"MINGO COUNTY, WV",1.770739868,17713557.87,"MONTOUR COUNTY, PA",1.790248439,3219270.516,"JONES COUNTY, MS",1.426367816,14294559.49,"SUNFLOWER COUNTY, MS",1.938233639,17868029.48,"BARBOUR COUNTY, WV",1.48499655,16516464.72,24526893.12
"KENNEBEC COUNTY, ME",5.487566485,12104423.44,"JASPER COUNTY, MS",1.777399566,17859305.55,"WALDO COUNTY, ME",1.808709746,3250409.624,"KNOX COUNTY, TX",1.428091377,14885344.59,"LOWNDES COUNTY, MS",1.947820452,18212030.77,"NEWTON COUNTY, MS",1.492572634,16714223.05,24947191.92
"GULF COUNTY, FL",5.500261058,12133157.83,"TILLMAN COUNTY, OK",1.795554555,19196909.35,"HENDERSON COUNTY, TX",1.822175414,3312256.024,"JENKINS COUNTY, GA",1.456722016,15215979.82,"WALTHALL COUNTY, MS",1.969989158,18434073.05,"SUMMERS COUNTY, WV",1.505866331,16814537.35,25320445.68
"COLUSA COUNTY, CA",5.730055732,13572381.66,"TATTNALL COUNTY, GA",1.885082594,19674679.4,"PARKER COUNTY, TX",1.91990526,3350546.584,"MINERAL COUNTY, WV",1.462498899,15340222.23,"HEMPSTEAD COUNTY, AR",1.987253154,18799849.95,"SMITH COUNTY, MS",1.51029213,16993110.86,25664561.59
"MONONGALIA COUNTY, WV",5.74383932,13697339.35,"BLADEN COUNTY, NC",1.90317953,20380590.81,"TARRANT COUNTY, TX",1.92380984,3377256.344,"RALEIGH COUNTY, WV",1.466151562,15578186.38,"COTTON COUNTY, OK",1.988468616,19768171.05,"GREENBRIER COUNTY, WV",1.549383873,17307710.02,26816286.77
"LEWIS COUNTY, WV",5.75365062,13816414.86,"LOGAN COUNTY, WV",1.907347898,20487814.62,"SEDGWICK COUNTY, KS",1.960748451,4179140.504,"SUMTER COUNTY, GA",1.466261209,16097503.67,"LEE COUNTY, AR",2.001021512,20586734.93,"HAMPSHIRE COUNTY, WV",1.552484736,17580792.13,27293911.42
"BRONX COUNTY, NY",5.858484336,13816952.89,"BLEDSOE COUNTY, TN",1.913955419,20710273.28,"OUACHITA PARISH, LA",2.012981264,4320969.576,"PENDLETON COUNTY, WV",1.466499776,16320292.38,"GRANT COUNTY, WV",2.003363464,20817615.22,"LAWRENCE COUNTY, MS",1.554052028,17708444.52,27519844.13
"FRANKLIN COUNTY, FL",5.897782117,13825966.75,"POLK COUNTY, AR",1.920764814,21015327.7,"KENNEBEC COUNTY, ME",2.041097947,4364725.596,"BARBOUR COUNTY, WV",1.48499655,16486215.48,"SEVIER COUNTY, AR",2.005482568,21075875.39,"ROANE COUNTY, WV",1.559369295,17841076.84,27820827.41
"HOWARD COUNTY, AR",6.13982982,14025396.24,"SUNFLOWER COUNTY, MS",1.938233639,22012725.31,"ACCOMACK COUNTY, VA",2.08862388,4493882.932,"NEWTON COUNTY, MS",1.492572634,16683973.81,"MARLBORO COUNTY, SC",2.021673651,21494193.24,"WHEELER COUNTY, GA",1.581954854,18011888.64,28493994.66
"LINCOLN COUNTY, WV",6.235417909,14132227.36,"LOWNDES COUNTY, MS",1.947820452,22356726.6,"DALLAS COUNTY, TX",2.126846338,4543458.612,"SUMMERS COUNTY, WV",1.505866331,16784288.11,"COLUMBIA COUNTY, AR",2.026361309,21567190.86,"GREER COUNTY, OK",1.586851111,18420072.59,29229912.65
"FRANKLIN COUNTY, ME",6.401416903,14233196.47,"WALTHALL COUNTY, MS",1.969989158,22578768.88,"LINCOLN COUNTY, ME",2.127862472,4555008.304,"SMITH COUNTY, MS",1.51029213,16962861.62,"JACKSON COUNTY, OK",2.055188234,22419264.86,"MARSHALL COUNTY, WV",1.591860602,18542083.1,29516411.58
"MODOC COUNTY, CA",6.424205454,15519132.06,"GRANT COUNTY, WV",1.97773274,22793430.48,"FRANKLIN COUNTY, ME",2.135005716,4567340.624,"MEADE COUNTY, SD",1.534499263,16963432.96,"HARMON COUNTY, OK",2.061781031,22814939.72,"SCOTT COUNTY, MS",1.631292023,18796411.33,30662435.87
"CABELL COUNTY, WV",6.57715965,15621247.95,"HEMPSTEAD COUNTY, AR",1.987253154,23159207.38,"ANDROSCOGGIN COUNTY, ME",2.225668928,4586764.028,"ROANE COUNTY, WV",1.534534889,17084155.11,"PIKE COUNTY, AR",2.063666267,22998673.47,"LEAKE COUNTY, MS",1.647491154,19019135.83,31333858.03
"OKANOGAN COUNTY, WA",6.578788939,16415401.11,"COTTON COUNTY, OK",1.988468616,24127528.48,"COTTONWOOD COUNTY, MN",2.269779406,5293690.556,"GREENBRIER COUNTY, WV",1.549383873,17398754.27,"CALHOUN COUNTY, WV",2.083948122,23042565.73,"CALHOUN COUNTY, WV",1.696210546,19059881.82,32329572.54
"GRAYS HARBOR COUNTY, WA",6.606693206,17489881.79,"LEE COUNTY, AR",2.001021512,24946092.36,"ORLEANS COUNTY, VT",2.340685677,5361115.144,"HAMPSHIRE COUNTY, WV",1.552484736,17671836.39,"LOGAN COUNTY, AR",2.086526125,23470765.52,"HUMPHREYS COUNTY, MS",1.716181822,19592327.23,33623995.85
"HEMPSTEAD COUNTY, AR",6.686657036,17746293.37,"SEVIER COUNTY, AR",2.005482568,25204352.53,"KAUFMAN COUNTY, TX",2.367758445,5459305.544,"LAWRENCE COUNTY, MS",1.554052028,17799488.78,"SCOTT COUNTY, AR",2.113657231,23705635.69,"MCINTOSH COUNTY, GA",1.729007047,19685125.98,34035721.55
"MALHEUR COUNTY, OR",6.763701988,18213116,"MARLBORO COUNTY, SC",2.021673651,25622670.38,"FRANKLIN COUNTY, TN",2.38699848,5525256.968,"COBB COUNTY, GA",1.568755685,17799551.61,"YELL COUNTY, AR",2.126935138,24095747.52,"LIBERTY COUNTY, FL",1.73652169,19740628.9,34280030.26
"POCAHONTAS COUNTY, WV",6.821187233,18345998.88,"COLUMBIA COUNTY, AR",2.026361309,25695668,"WORCESTER COUNTY, MD",2.429623062,5666272.304,"WHEELER COUNTY, GA",1.581954854,17970363.41,"HAYWOOD COUNTY, TN",2.128205984,24705924.9,"RITCHIE COUNTY, WV",1.738367504,19836762.22,34483582.82
"RANDOLPH COUNTY, WV",6.841218762,18478318.2,"HARDY COUNTY, WV",2.054974524,25900951.59,"CUMBERLAND COUNTY, ME",2.448719137,5685055.376,"GREER COUNTY, OK",1.586851111,18378547.37,"MONROE COUNTY, WV",2.14982942,24991848.59,"HARDEMAN COUNTY, TX",1.764882839,20186874.11,35627467.69
"GILLIAM COUNTY, OR",6.941434354,18513176.54,"JACKSON COUNTY, OK",2.055188234,26753025.59,"DAY COUNTY, SD",2.482904842,5998166.02,"MARSHALL COUNTY, WV",1.591860602,18500557.88,"BRADLEY COUNTY, AR",2.163803538,25036754.44,"CLEBURNE COUNTY, AR",1.76505701,20434273.2,36067657.17
"CURRY COUNTY, OR",7.230811432,19178457.07,"HARMON COUNTY, OK",2.061781031,27148700.46,"HERTFORD COUNTY, NC",2.568154848,6070060.612,"SAGADAHOC COUNTY, ME",1.600573216,18503380.08,"CLEVELAND COUNTY, AR",2.167077999,25084788.36,"NATCHITOCHES PARISH, LA",1.768936569,20527249.78,36311402.8
"MARIPOSA COUNTY, CA",7.233524544,20325216.04,"PIKE COUNTY, AR",2.063666267,27332434.2,"CHAUTAUQUA COUNTY, KS",2.61077943,6112490.692,"SCOTT COUNTY, MS",1.631292023,18757708.31,"WASHINGTON COUNTY, ME",2.178136787,25277652.22,"MINGO COUNTY, WV",1.770739868,20638342.61,36545136.06
"MASON COUNTY, WV",7.24036387,20609079.38,"LOGAN COUNTY, AR",2.086526125,27760633.99,"TRIPP COUNTY, SD",2.61077943,6439672.624,"LEAKE COUNTY, MS",1.647491154,18980432.8,"HARDY COUNTY, WV",2.195860066,25502841.16,"JASPER COUNTY, MS",1.777399566,20784090.28,36941633.05
"DOUGLAS COUNTY, WA",7.257817652,20787481.81,"MONROE COUNTY, WV",2.092065134,28021210.91,"PALO PINTO COUNTY, TX",2.620814487,6482570.864,"STEPHENS COUNTY, TX",1.667107671,19012661.92,"KIOWA COUNTY, OK",2.215805317,26641190.91,"MONTOUR COUNTY, PA",1.790248439,20835245.7,37300266.08
"KNOTT COUNTY, KY",7.359617113,20844338,"SCOTT COUNTY, AR",2.113657231,28256081.08,"GREGG COUNTY, TX",2.661154242,6484221.744,"GWINNETT COUNTY, GA",1.669272112,19012724.76,"NEVADA COUNTY, AR",2.228418479,26790801.85,"TILLMAN COUNTY, OK",1.795554555,22172849.5,39812560.93
"ANDROSCOGGIN COUNTY, ME",7.399883013,21001967.49,"YELL COUNTY, AR",2.126935138,28646192.91,"HASKELL COUNTY, OK",2.685373079,6488459.824,"CALHOUN COUNTY, WV",1.696210546,19053470.75,"CALHOUN COUNTY, AR",2.23750708,26826185.21,"HENDERSON COUNTY, TX",1.822175414,22234695.9,40515516.2
