County_Forest_NH,Cost_Forest_NH,Qty_Forest_NH,County_Forest_H,Cost_Forest_H,Qty_Forest_H,County_Soil,Cost_Soil,Qty_Soil,County_MinCost,Cost_MinCost,Qty_MinCost,County_MaxQty,Cost_MaxQty,Qty_MaxQty,County_CE,Cost_CE,Qty_CE,Revenues_CE
"ANNE ARUNDEL COUNTY, MD",54.74165918,861561366.9,"MARTIN COUNTY, MN",38.34957774,862483222,"JASPER COUNTY, IL",14.03427264,222132682.2,"FULTON COUNTY, IL",11.79646314,443567233.2,"WASHINGTON COUNTY, NE",41.05572212,913311397.7,"GARFIELD COUNTY, NE",22.30384886,768582864.8,17142356057
"MACON COUNTY, MO",54.78433966,862402386.7,"TODD COUNTY, MN",38.40641905,863435850,"PRATT COUNTY, KS",14.04933364,222848178.5,"WABAUNSEE COUNTY, KS",11.80368104,444760577.1,"EAU CLAIRE COUNTY, WI",41.05803463,913831637.3,"SAN JUAN COUNTY, NM",22.35663193,768583051.8,17182928394
"HENRY COUNTY, AL",54.80872734,862624010.4,"LEE COUNTY, NC",38.41670645,863584326.7,"FORD COUNTY, KS",14.07539785,223998299.8,"HUMPHREYS COUNTY, TN",11.80712118,444782915.8,"WRIGHT COUNTY, MO",41.06153064,914282530.3,"MIAMI COUNTY, IN",22.35679572,768948793.2,17191231090
"MARION COUNTY, TX",54.82126718,862660540.8,"BENNINGTON COUNTY, VT",38.4416442,863724220.1,"ALFALFA COUNTY, OK",14.07689638,224789243.8,"BENTON COUNTY, AR",11.8452746,444784602.1,"SEWARD COUNTY, NE",41.16425169,915142013.9,"ST LANDRY PARISH, LA",22.44562766,769936308.6,17281703705
"PORTAGE COUNTY, OH",54.89162338,863153673.8,"CRAWFORD COUNTY, KS",38.4501526,864374570.5,"KOSSUTH COUNTY, IA",14.08176237,225918484.5,"HANCOCK COUNTY, KY",11.86068919,444817703.4,"CARROLL COUNTY, MD",41.16487531,916069854.4,"AUDRAIN COUNTY, MO",22.45270124,770466178.3,17299046918
"PERRY COUNTY, PA",54.92452765,863539449.8,"CHILTON COUNTY, AL",38.48475493,864651207.3,"CLINTON COUNTY, OH",14.08755442,226300752.5,"BUTLER COUNTY, OH",11.8609165,444948148.2,"DELTA COUNTY, CO",41.19659505,916101693.3,"REYNOLDS COUNTY, MO",22.46532443,770541440,17310463434
"LAFAYETTE COUNTY, MS",54.94495455,863698823.9,"MAHONING COUNTY, OH",38.51471002,865014758.8,"CALLOWAY COUNTY, KY",14.09821246,226433409.4,"RAMSEY COUNTY, MN",11.86353471,444948981.7,"ORANGE COUNTY, TX",41.22475142,916197313.9,"HOUSTON COUNTY, GA",22.47154709,770780901.8,17320639331
"PIERCE COUNTY, NE",54.97019341,864583407,"HARRIS COUNTY, GA",38.5467233,865210683.1,"GARFIELD COUNTY, NE",14.13590285,226478426.6,"WILSON COUNTY, KS",11.87105258,445145091.4,"GILES COUNTY, TN",41.29925121,916692976.6,"MANISTEE COUNTY, MI",22.47361848,770961935.5,17326304403
"CASS COUNTY, MO",55.05854811,865384737.4,"ROCKINGHAM COUNTY, NC",38.56686104,865606218.2,"EDWARDS COUNTY, TX",14.15050083,226478697.7,"DYER COUNTY, TN",11.87105258,445473961.5,"ALLEN COUNTY, OH",41.32732656,917426804.8,"FREDERICK COUNTY, MD",22.48080355,772039373.2,17356065477
"LEWIS COUNTY, TN",55.06048055,865447557.3,"DEUEL COUNTY, SD",38.5923723,866428416.8,"TURNER COUNTY, SD",14.16187446,226952207.9,"NEW MADRID COUNTY, MO",11.87845259,446249759.3,"MONROE COUNTY, KY",41.33484478,917681241.4,"KANE COUNTY, IL",22.50598302,772380314.4,17383178242
"TAZEWELL COUNTY, VA",55.09137126,865626347.3,"LOS ANGELES COUNTY, CA",38.59456848,867072267.2,"STAFFORD COUNTY, KS",14.19504403,227693157.4,"DEUEL COUNTY, SD",11.89305899,446552406.3,"SANPETE COUNTY, UT",41.36772376,917801498.8,"MADISON COUNTY, OH",22.5297101,773513748.1,17427040504
"RUSSELL COUNTY, AL",55.13431755,865759713.6,"CARROLL COUNTY, VA",38.70609617,867394463.1,"BUTLER COUNTY, PA",14.20477602,227851746.3,"RANDOLPH COUNTY, MO",11.9030267,446684111.4,"PERRY COUNTY, OH",41.36795326,918176573.2,"BROWN COUNTY, NE",22.57785221,775313247,17504907907
"MILLS COUNTY, TX",55.16467505,866068842.8,"LAVACA COUNTY, TX",38.71431536,868258583.6,"LEELANAU COUNTY, MI",14.22608368,227916186,"DELAWARE COUNTY, OH",11.91370999,446967341.4,"LOGAN COUNTY, OH",41.40048809,919104392,"ABBEVILLE COUNTY, SC",22.58351269,775647915,17516854533
"BOWIE COUNTY, TX",55.17492874,866415424.7,"KENT COUNTY, RI",38.75360135,868275435.2,"YANKTON COUNTY, SD",14.26581139,228207553.1,"FLOYD COUNTY, VA",11.94565044,446969428.4,"FULTON COUNTY, PA",41.42118932,919397771.6,"ARCHULETA COUNTY, CO",22.62226673,775899124.2,17552596944
"DODGE COUNTY, NE",55.1768019,867226676.3,"CARROLL COUNTY, MD",38.78853324,869120118.4,"WALLOWA COUNTY, OR",14.30067312,228332576.5,"FERGUS COUNTY, MT",11.9559946,447767088.5,"HOOD RIVER COUNTY, OR",41.4546272,919771514.5,"RED RIVER PARISH, LA",22.62470644,776068204.8,17558315312
"MADISON COUNTY, ID",55.21105883,867385371.5,"BALLARD COUNTY, KY",38.78957427,869406055,"HARDIN COUNTY, OH",14.31133116,228822440.6,"CASS COUNTY, NE",11.99893222,448392673.4,"SHERIDAN COUNTY, WY",41.45506461,919936855.7,"BUTLER COUNTY, KY",22.68630199,776342386.7,17612337836
